node,wind
k01-01,0.10994440000000005
k01-02,0.09139400000000009
k01-03,0.09296670000000007
k01-04,0.08450239999999998
k01-05,0.08442570000000005
k01-06,0.08335330000000007
k01-07,0.08058270000000001
k01-08,0.07606200000000007
k01-09,0.07750380000000001
k01-10,0.07252350000000007
k01-11,0.07279150000000001
k01-12,0.07128659999999998
k01-13,0.08356450000000004
k01-14,0.06672490000000009
k01-15,0.02093670000000003
k01-16,0.018221799999999955
k01-17,0.015844199999999975
k01-20,0.017982500000000012
k01-18,0.01331569999999993
k01-19,0.007861899999999977
k02-01,0.07442409999999999
k02-02,0.05889790000000006
k02-03,0.06547180000000008
k02-04,0.05982550000000009
k02-05,0.06199620000000006
k02-06,0.06161349999999999
k02-07,0.05843670000000001
k02-08,0.05200480000000007
k02-09,0.05258040000000008
k02-10,0.04768150000000004
k02-11,0.04945390000000005
k02-12,0.050101800000000085
k02-13,0.06308710000000006
k02-19,0.01532599999999995
k02-20,0.02022950000000001
k02-21,0.02294560000000001
k02-22,0.026768899999999984
k02-23,0.033418999999999977
k02-24,0.06406460000000003
k02-14,0.054386000000000045
k02-15,0.05642310000000006
k02-16,0.05819390000000002
k02-17,0.059738200000000075
k02-18,0.06008610000000003
k03-01,0.059713100000000074
k03-02,0.0439891
k03-03,0.051213000000000064
k03-04,0.04481080000000004
k03-05,0.04756199999999999
k03-06,0.047267600000000076
k03-07,0.045387500000000025
k03-08,0.04204230000000009
k03-09,0.04556920000000009
k03-10,0.041873700000000014
k03-11,0.04490709999999998
k03-12,0.0449794
k03-13,0.05813180000000007
k03-14,0.04932040000000004
k03-15,0.050987900000000086
k03-16,0.05336760000000007
k03-17,0.05590760000000006
k03-18,0.05721540000000003
k03-19,0.012521400000000016
k03-20,0.01921839999999997
k03-21,0.022109500000000004
k03-22,0.02570119999999998
k03-23,0.031219099999999944
k03-24,0.06202209999999997
k04-01,0.020677400000000068
k04-02,0.007962299999999978
k04-03,0.019256800000000074
k04-04,0.015012499999999984
k04-05,0.021012699999999995
k04-06,0.02050020000000008
k04-07,0.01831830000000001
k04-08,0.01305630000000002
k04-09,0.01821320000000004
k04-10,0.014369999999999994
k04-11,0.019735200000000064
k04-12,0.02094269999999998
k04-13,0.03623920000000003
k04-14,0.02938390000000002
k04-15,0.032206100000000015
k04-16,0.035110900000000056
k04-17,0.038010199999999994
k04-18,0.03993469999999999
k04-19,-0.004142700000000055
k04-20,0.00459900000000002
k04-21,0.009523799999999971
k04-22,0.01527769999999995
k04-23,0.022795699999999974
k04-24,0.054629599999999945
k05-01,0.014658100000000007
k05-02,-0.0029796999999999185
k05-03,0.0038946000000000813
k05-04,-0.004963799999999963
k05-05,0.0008508999999999878
k05-06,0.0004340999999999928
k05-07,0.0
k05-08,-0.007213299999999978
k05-09,-0.0003198999999999286
k05-10,-0.005872600000000006
k05-11,0.0009231000000000655
k05-12,0.0014576000000000588
k05-13,0.018450599999999984
k05-14,0.012214300000000011
k05-15,0.014759200000000083
k05-16,0.016887500000000055
k05-17,0.018475699999999984
k05-18,0.01885990000000004
k05-19,-0.028747599999999984
k05-20,-0.01974520000000002
k05-21,-0.016585599999999978
k05-22,-0.013034199999999996
k05-23,-0.007871399999999973
k05-24,0.024566099999999924
k06-01,-0.00523679999999993
k06-02,-0.03217019999999993
k06-03,-0.027142999999999917
k06-04,-0.035507499999999914
k06-05,-0.026275700000000013
k06-06,-0.023909100000000016
k06-07,-0.020790099999999923
k06-08,-0.02320040000000001
k06-09,-0.013073799999999913
k06-10,-0.015035099999999968
k06-11,-0.007191399999999959
k06-12,-0.006116299999999963
k06-13,0.010706900000000075
k06-14,0.0055037
k06-15,0.00913150000000007
k06-16,0.012848000000000082
k06-17,0.01646420000000004
k06-18,0.01887020000000006
k06-19,-0.02492479999999997
k06-20,-0.01726110000000003
k06-21,-0.0138741
k06-22,-0.00980559999999997
k06-23,-0.0038074000000000163
k06-24,0.02499549999999995
k07-01,0.21978540000000002
k07-02,0.20500010000000002
k07-03,0.2033659
k07-04,0.19310850000000002
k07-05,0.1883412
k07-06,0.18322570000000005
k07-07,0.1772123
k07-08,0.17164160000000006
k07-09,0.17077570000000009
k07-10,0.1681844
k07-11,0.16973170000000004
k07-12,0.17235980000000006
k07-13,0.18779370000000006
k07-14,0.17626570000000008
k07-15,0.17809490000000006
k07-16,0.1793224
k07-17,0.18012400000000006
k07-18,0.17977100000000001
k07-19,0.13456309999999994
k07-20,0.1377138
k07-21,0.1387482
k07-22,0.14043949999999994
k07-23,0.14427080000000003
k07-24,0.17577920000000002
k08-01,0.10922920000000003
k08-02,0.09487710000000005
k08-03,0.10081119999999999
k08-04,0.09488450000000004
k08-05,0.09564670000000008
k08-06,0.09458149999999999
k08-07,0.09223979999999998
k08-08,0.08761530000000006
k08-09,0.08757460000000006
k08-10,0.08257570000000003
k08-11,0.08269420000000005
k08-12,0.08217839999999998
k08-13,0.09412690000000001
k08-14,0.08379420000000004
k08-15,0.0848006
k08-16,0.08545409999999998
k08-17,0.08585569999999998
k08-18,0.08527930000000006
k08-19,0.039641599999999944
k08-20,0.04410439999999993
k08-21,0.04651050000000001
k08-22,0.049926899999999996
k08-23,0.05609069999999994
k08-24,0.08700370000000002
k09-01,0.09785890000000008
k09-02,0.08245080000000005
k09-03,0.08791860000000007
k09-04,0.08010110000000004
k09-05,0.08100150000000006
k09-06,0.07958280000000006
k09-07,0.07670060000000001
k09-08,0.07254139999999998
k09-09,0.07452360000000002
k09-10,0.07047880000000006
k09-11,0.07300270000000009
k09-12,0.07336580000000004
k09-13,0.08623210000000003
k09-14,0.0759303
k09-15,0.07678250000000009
k09-16,0.07789060000000003
k09-17,0.07919320000000007
k09-18,0.07965010000000006
k09-19,0.03426489999999993
k09-20,0.04053499999999999
k09-21,0.043171199999999965
k09-22,0.046503799999999984
k09-23,0.05186020000000002
k09-24,0.08305079999999998
k10-01,0.0569307
k10-02,0.042539900000000075
k10-03,0.052139000000000046
k10-04,0.04708230000000002
k10-05,0.05223470000000008
k10-06,0.05477960000000004
k10-07,0.05448260000000005
k10-08,0.05008050000000008
k10-09,0.050763
k10-10,0.04495870000000002
k10-11,0.04640500000000003
k10-12,0.04641740000000005
k10-13,0.058818499999999996
k10-14,0.051008800000000076
k10-15,0.05292669999999999
k10-16,0.055034499999999986
k10-17,0.05734210000000006
k10-18,0.05873280000000003
k10-19,0.01460909999999993
k10-20,0.021814800000000023
k10-21,0.025699399999999928
k10-22,0.030664299999999978
k10-23,0.037868299999999966
k10-24,0.06979349999999995
k11-01,0.041543500000000066
k11-02,0.024293100000000067
k11-03,0.031112600000000046
k11-04,0.02328730000000001
k11-05,0.027295999999999987
k11-06,0.02807179999999998
k11-07,0.026855799999999985
k11-08,0.02326550000000005
k11-09,0.028075900000000042
k11-10,0.023890700000000042
k11-11,0.028052900000000047
k11-12,0.02688250000000003
k11-13,0.04059310000000005
k11-14,0.02999150000000006
k11-15,0.0298543
k11-16,0.03087300000000004
k11-17,0.03242489999999998
k11-18,0.03314630000000007
k11-19,-0.013228499999999976
k11-20,-0.003795300000000057
k11-21,0.0
k11-22,0.004221999999999948
k11-23,0.0098182
k11-24,0.043385099999999954
k12-01,0.002643800000000085
k12-02,-0.010927199999999915
k12-03,0.0002943000000000806
k12-04,-0.0055706999999999285
k12-05,0.0008550000000000502
k12-06,0.0007189000000000778
k12-07,0.0009238999999999775
k12-08,-0.0033426999999999207
k12-09,0.004287800000000064
k12-10,0.0020274000000000125
k12-11,0.009352200000000033
k12-12,0.011167200000000044
k12-13,0.027710700000000088
k12-14,0.02101160000000002
k12-15,0.023633899999999985
k12-16,0.026777800000000074
k12-17,0.029655700000000063
k12-18,0.030777800000000077
k12-19,-0.014663500000000051
k12-20,-0.008192100000000035
k12-21,-0.005991799999999992
k12-22,-0.002764100000000047
k12-23,0.003020599999999929
k12-24,0.03315049999999997
